,as_of,ask_id,fund_size
6753,2001-05,B17110,34.5211
6754,2001-06,B17110,35.0525
6755,2001-07,B17110,35.7825
6756,2001-08,B17110,36.5073
6757,2001-09,B17110,36.8607
6758,2001-10,B17110,37.5706
6759,2001-11,B17110,36.8182
6760,2001-12,B17110,36.249
6761,2002-01,B17110,36.5078
6762,2002-02,B17110,36.7104
6763,2002-03,B17110,35.6214
6764,2002-04,B17110,36.0416
6765,2002-05,B17110,36.2063
6766,2002-06,B17110,36.6325
6767,2002-07,B17110,37.2305
6768,2002-08,B17110,37.6194
6769,2002-09,B17110,38.1743
6770,2002-10,B17110,37.8017
6771,2002-11,B17110,37.5294
6772,2002-12,B17110,37.7629
6773,2003-01,B17110,36.8219
6774,2003-02,B17110,32.0171
6775,2003-03,B17110,31.9183
6776,2003-05,B17110,31.9183
6777,2003-06,B17110,31.2691
6778,2003-07,B17110,30.1725
6779,2003-09,B17110,30.1155
6780,2003-10,B17110,29.805
6781,2003-11,B17110,29.7623
6782,2004-01,B17110,27.5212
6783,2004-02,B17110,26.9846
6784,2004-04,B17110,27.0004
6785,2004-05,B17110,26.6196
6786,2004-06,B17110,26.1973
6787,2004-07,B17110,26.2403
6788,2004-08,B17110,26.4227
6789,2004-09,B17110,26.0508
6790,2005-01,B17110,22.5846
6791,2005-02,B17110,25.096
6792,2005-03,B17110,24.1953
6793,2005-04,B17110,24.3568
6794,2005-05,B17110,24.4174
6795,2005-06,B17110,24.3509
6796,2005-07,B17110,23.9002
6797,2005-08,B17110,24.087
6798,2005-09,B17110,23.7468
6799,2006-01,B17110,21.8274
6800,2006-02,B17110,22.2623
6801,2006-03,B17110,21.9746
6802,2006-04,B17110,21.8274
6803,2006-05,B17110,21.6987
6804,2006-06,B17110,21.6198
6805,2006-10,B17110,42.5529
6806,2006-11,B17110,35.0825
6807,2006-12,B17110,34.3096
6808,2007-01,B17110,34.257
6809,2007-02,B17110,34.4844
6810,2007-03,B17110,33.2353
6811,2007-04,B17110,33.2495
6812,2007-05,B17110,32.8584
6813,2007-06,B17110,32.8165
6814,2007-07,B17110,32.8666
6815,2007-08,B17110,32.8734
6816,2007-09,B17110,33.0761
6817,2007-10,B17110,33.2816
6818,2007-11,B17110,33.6452
6819,2007-12,B17110,33.6931
6820,2008-01,B17110,32.8459
6821,2008-02,B17110,34.1541
6822,2008-03,B17110,33.1595
6823,2008-04,B17110,32.5528
